id,name,category,subcategory,use_this_when,intent_tags,phone_primary,phone_secondary,sms,address,city,state,zip,area,lat,lng,hours_display,eligibility,cost,military_civilian,confidentiality_reporting_notes,emergency,priority,status,source_name,source_url,verified_at,last_checked_at,reverify_days,recheck_at,change_history,admin_notes,provenance
safety-001,Emergency Services / 911,Safety & Crisis,Emergency,"Immediate danger, crime in progress, fire, or medical emergency.","[""911"", ""emergency"", ""danger"", ""police"", ""fire"", ""ambulance""]",911,,,,,NY,,Fort Drum / Jefferson County,,,24/7,Anyone,Free,both,Cellular 911 calls made on Fort Drum may first reach Jefferson County dispatch. State that you are on Fort Drum.,True,P0,active,Fort Drum / Jefferson County emergency guidance,https://home.army.mil/drum/contact/crisis-phone-numbers,2026-09-24,2026-09-24,7,2026-10-01,[],,restored_from_pcshomes_deep_research_report
safety-002,Veterans / Military Crisis Line,Safety & Crisis,Suicide / Mental Health Crisis,"Suicidal thoughts, self-harm risk, severe emotional crisis, or concern for a service member or veteran.","[""988"", ""suicide"", ""crisis"", ""veterans crisis line"", ""mental health crisis""]",988,Press 1,,,,NY,,National,,,24/7,"Service members, veterans, families and supporters",Free,military/veteran,,True,P0,active,Veterans Crisis Line,https://www.veteranscrisisline.net/,2026-09-24,2026-09-24,7,2026-10-01,[],,restored_from_pcshomes_deep_research_report
safety-003,Jefferson County Crisis Response,Safety & Crisis,Mental Health Crisis,Local mental-health crisis support in Jefferson County.,"[""crisis response"", ""mental health"", ""jefferson county crisis""]",315-782-2327,,,,,NY,,Jefferson County,,,24/7 per Fort Drum crisis directory,Local residents,Varies / crisis access,both,,True,P0,active,Fort Drum Crisis Phone Numbers,https://home.army.mil/drum/contact/crisis-phone-numbers,2026-09-24,2026-09-24,7,2026-10-01,[],,restored_from_pcshomes_deep_research_report
safety-004,Jefferson County Mobile Crisis Services,Safety & Crisis,Mobile Crisis,A mobile mental-health crisis response may be appropriate.,"[""mobile crisis"", ""mental health"", ""crisis team""]",315-788-0970,,,,,NY,,Jefferson County,,,24/7 per Fort Drum crisis directory,Local residents,Varies,both,,True,P0,active,Fort Drum Crisis Phone Numbers,https://home.army.mil/drum/contact/crisis-phone-numbers,2026-09-24,2026-09-24,7,2026-10-01,[],,restored_from_pcshomes_deep_research_report
safety-005,Samaritan 24/7 Urgent Mental Health Line,Safety & Crisis,Mental Health Crisis,Urgent behavioral-health support through Samaritan.,"[""samaritan mental health"", ""behavioral health"", ""urgent mental health""]",315-785-4516,,,,,NY,,Watertown / North Country,,,24/7,Anyone seeking urgent behavioral-health help,Varies,both,,True,P0,active,Samaritan Health Behavioral Health,https://samaritanhealth.com/service/behavioral-health/,2026-09-24,2026-09-24,7,2026-10-01,[],,restored_from_pcshomes_deep_research_report
safety-006,Fort Drum SHARP,Safety & Crisis,Sexual Assault,Sexual assault support or reporting on/through Fort Drum.,"[""SHARP"", ""sexual assault"", ""SARC"", ""rape"", ""restricted report"", ""unrestricted report""]",315-767-6128,,,,,NY,,Fort Drum,,,24/7 crisis contact per Fort Drum directory,Fort Drum military community,Free,military,Show confidential/restricted-reporting options clearly. Do not place PCSHomes lead capture in this path.,True,P0,active,Fort Drum Crisis Phone Numbers,https://home.army.mil/drum/contact/crisis-phone-numbers,2026-09-24,2026-09-24,7,2026-10-01,[],,restored_from_pcshomes_deep_research_report
safety-007,DoD Safe Helpline,Safety & Crisis,Sexual Assault,Confidential sexual-assault support for the DoD community.,"[""safe helpline"", ""sexual assault"", ""confidential"", ""DoD""]",877-995-5247,,,,,NY,,National,,,24/7,DoD community,Free,military,Confidential support resource. No PCSHomes form or tracking on the crisis path.,True,P0,active,DoD Safe Helpline,https://safehelpline.org/,2026-09-24,2026-09-24,7,2026-10-01,[],,restored_from_pcshomes_deep_research_report
safety-008,Fort Drum Family Advocacy Crisis Hotline,Safety & Crisis,Domestic Abuse,"Domestic abuse, intimate-partner violence, or immediate victim-advocacy support connected to Fort Drum.","[""FAP"", ""domestic violence"", ""domestic abuse"", ""spouse hit me"", ""victim advocate""]",315-955-4321,,,,,NY,,Fort Drum,,,24/7,Fort Drum military community,Free,military,Direct contact to victim advocate. No lead form.,True,P0,active,Fort Drum Family Advocacy Program,https://home.army.mil/drum/about/Garrison/directorate-human-resources/soldier-and-family-readiness-division-sfrd/SFRC/family-advocacy-program-fap,2026-09-24,2026-09-24,7,2026-10-01,[],,restored_from_pcshomes_deep_research_report
safety-009,Fort Drum Domestic Abuse Victim Advocacy,Safety & Crisis,Domestic Abuse,Non-emergency duty-hour domestic-abuse advocacy and Family Advocacy support.,"[""domestic abuse"", ""victim advocate"", ""FAP""]",315-772-5605,315-772-8934,,,,NY,,Fort Drum,,,Regular duty hours; use crisis hotline after hours,Fort Drum military community,Free,military,,False,P0,active,Fort Drum Family Advocacy Program,https://home.army.mil/drum/about/Garrison/directorate-human-resources/soldier-and-family-readiness-division-sfrd/SFRC/family-advocacy-program-fap,2026-09-24,2026-09-24,7,2026-10-01,[],,restored_from_pcshomes_deep_research_report
safety-010,Victims Assistance Center of Jefferson County - 24 Hour Hotline,Safety & Crisis,Domestic Violence / Sexual Assault,"Off-post domestic violence, sexual assault, trafficking, shelter, advocacy, or safety planning.","[""VAC"", ""domestic violence"", ""sexual assault"", ""safe shelter"", ""trafficking"", ""victim help""]",315-782-1855,,,418 Washington Street,Watertown,NY,13601,Jefferson County,,,24/7 hotline,Victims/survivors in the region,Free/confidential services,civilian,,True,P0,active,Victims Assistance Center of Jefferson County,https://vacjc.com/,2026-09-24,2026-09-24,7,2026-10-01,[],,restored_from_pcshomes_deep_research_report
